Judul,Deskripsi Pengaduan
Pemeliharaan Jalan dan Trotoar,Beberapa jalan dan trotoar di sekitar RW 01 telah mengalami kerusakan parah akibat cuaca dan penggunaan yang intens. Kondisi ini dapat membahayakan pengguna jalan dan menimbulkan kerugian materi bagi warga yang memiliki properti di sekitar area tersebut.
Pohon Tumbang Akibat Hujan,"Akibat cuaca buruk, terutama hujan deras yang baru-baru ini melanda wilayah RW 01, satu pohon besar di taman umum di dekat perumahan kami tumbang. Pohon yang tumbang ini menimbulkan bahaya bagi warga dan properti di sekitarnya."
Reservasi Temu yang Tdak Ditanggapi,"Saya meminta untuk bertemu dengan RT 02 namun tidak ada tanggapan sama sekali, hal ini membuat saya kecewa dalam hal administrasi yang dilakukan di lingkungan ini"
Gangguan Layanan Pembayaran Iuran Online,"Kami, warga RW 01, ingin melaporkan gangguan yang berulang dalam layanan pembayaran iuran online kami. Selama beberapa minggu terakhir, kami telah mengalami masalah saat mencoba membayar iuran bulanan kami melalui platform online yang disediakan"
Rumah Tidak Layak Huni di RW 01,Beberapa rumah di lingkungan RW 01 terlihat tidak layak huni. Kondisi bangunan yang rusak dan tidak terawat dapat membahayakan penduduk dan menurunkan kualitas lingkungan.
Rintangan Pejalan Kaki di Trotoar RW 01,"Trotoar di sekitar RW 01 seringkali dipenuhi dengan rintangan seperti motor yang parkir sembarangan, pohon tumbang, dan bangku yang rusak. Hal ini menghambat mobilitas pejalan kaki, terutama kaum lanjut usia dan penyandang disabilitas."
Bising dan Polusi Udara akibat Kendaraan Bermotor di RW 01,Kami mengalami masalah dengan tingginya tingkat kebisingan dan polusi udara akibat lalu lintas kendaraan bermotor di sekitar RW 01. Hal ini mengganggu kenyamanan hidup dan kesehatan warga.
Pencurian Kendaraan di Parkiran RW 01,Kami ingin melaporkan kasus pencurian kendaraan yang terjadi di parkiran sekitar RW 01. Beberapa warga telah menjadi korban pencurian motor di area parkir umum.
Masalah Lingkungan dan Sampah,"Lingkungan sekitar RW 01 seringkali tercemar oleh tumpukan sampah dan limbah, baik di jalanan maupun di sungai-sungai kecil. Hal ini tidak hanya merusak estetika lingkungan tetapi juga mengancam kesehatan masyarakat dan kelestarian alam."
Banjir Ketika Hujan Lebat di Blok A,"Beberapa wilayah di RW 01 Blok A rentan terhadap banjir ketika hujan lebat, menyebabkan kerusakan pada properti dan mengganggu aktivitas sehari-hari warga."
Pemulung mencuri di rumah saya,"Mohon untuk meningkatkan keamanan, karena saya lihat di CCTV pribadi saya ada pemulung yang diam-diam masuk ke rumah saya saat saya ada di dapur, ternyata ada barang saya yang hilang."
Jalan rusak di depan masjid blok H,Banyak paving yang lepas akibat hujan menyebabkan beberapa pengendara motor jatuh 
Kos cowo di blok C rame sampai malam,Jam malam sudah waktunya istirahat tapi di sebelah rumah saya tepatnya di Kos cowo sangat berisik sehingga mengganggu sekitarnya
Curiga ada sesuatu di rumah warga ,"Tolong periksa rumah warga di blok F no 1 sudah 2 hari tidak keluar rumah, mungkin ada apa-apa."
Selokan tersumbat di sepanjang jalan perumahan,"Di depan rumah saya pas selokan tersumbat menyebabkan bau yang tidak enak, mohon adakan kerja bakti untuk membersihkan lingkungan perumahan "
Knalpot brong,"Banyak anak kos yang memakai knalpot brong, membuat polusi suara bahkan saat malam mereka tidak mematikan mesin motornya sehingga mengganggu jam istirahat, tolong beri aturan untuk mematikan mesin motor dengan knalpot brong kalau bisa motor dengan knalpot brong dilarang masuk perumahan."
Tukang sampah libur seminggu ,"Sudah seminggu tukang sampah tidak ada, sehingga sampah di depan rumah warga menumpuk dan menyebabkan bau. Tolong segera hubungi tukang sampah ya pak"
Pembakaran sampah sembarangan,"Pagi tadi di dekat blok E ada yang bakar sampah di depan rumah, menyebabkan polusi udara. Tolong kasih aturan untuk tidak membakar sampah sembarangan karena mengganggu tetangga lainnya "
